	3.2	7.5	-0.5	1.9	2.2	2.8	59.9	1393990 
	3.3	7.6	-0.5	1.5	2.3	2.8	59.5	1419060 
	3.4	7.8	-0.5	1.2	2.3	2.9	58.9	1414010 
	3.6	7.9	-0.3	1.3	2.4	2.9	59.1	1270030 
	3.9	8.3	0	1.5	2.4	2.9	59.2	1208280 
	4.3	8.9	0.3	1.4	2.4	2.8	59.2	1364460 
	4.8	9.6	0.6	1.3	2.5	2.7	58.5	1390000 
	5.2	9.9	1	1.2	2.5	2.7	58	1409060 
	5.5	10.4	1.3	1.1	2.6	2.7	57	1404720 
	5.8	10.7	1.6	1.2	2.6	2.7	57	1391940 
	5.9	10.7	1.7	1.3	2.6	2.7	57.6	1262600 
	5.9	10.7	1.9	1.4	2.7	2.8	57.8	1145640 
	6.1	11	2	1.6	2.8	2.8	57.3	1324310 
	6.4	11.4	2.1	1.5	2.8	2.8	56.9	1380040 
	6.8	12	2.4	1.3	3	2.7	55.9	1396660 
	7.3	12.4	2.8	1.3	3.1	2.7	55.7	1385870 
	7.5	12.6	3.1	1.4	3	2.7	55.6	1375580 
	7.5	12.4	3.2	1.5	3	2.7	56.4	1263910 
	7.2	12.1	3.1	1.8	3	2.8	57.2	1153900 
	7	11.8	2.8	1.7	2.9	2.8	57.2	1360620 
	6.9	11.7	2.8	1.6	2.9	2.9	57.2	1395410 
	6.9	11.8	2.7	1.4	3	2.9	57.2	1353160 
	7.3	12.2	2.9	1.3	3	2.8	56.8	1364910 
	7.6	12.6	3.3	1.3	3.1	2.7	56.4	1367120 
	8	12.8	3.8	1.5	3.1	2.7	56.6	1260050 
	8.2	13.1	4	1.8	3.1	2.7	56.2	1143030 
	8.4	13.3	4.2	1.8	3.2	2.8	56.4	1324710 
	8.6	13.5	4.4	1.8	3.3	2.8	56	1352570 
	9	14.1	4.6	1.4	3.4	2.8	55	1324400 
	9.5	14.8	4.9	1.4	3.6	2.8	54.9	1323540 
	9.9	15.2	5.3	1.4	3.6	2.7	54.9	1321150 
	10.4	15.8	5.7	1.4	3.7	2.7	55	1244560 
	11	16.5	6.2	1.1	3.8	2.7	54.9	1143420 
	11.4	17	6.7	1.6	3.8	2.7	55.2	1307530 
	11.7	17.1	7	1.8	3.9	2.8	55.4	1350970 
